Source,Target,Weight,Type
AsbóthJ_ÁlmokÁlmodója,EötvösJ_AFaluJegyzője,2,undirected
AsbóthJ_ÁlmokÁlmodója,EötvösJ_AKarthausi,27,undirected
AsbóthJ_ÁlmokÁlmodója,NagyIgnác_MagyarTitkok,4,undirected
AsbóthJ_ÁlmokÁlmodója,PodmaniczkyFrigyes_AzAlföldiVadászokTanyája,4,undirected
AsbóthJ_ÁlmokÁlmodója,ToldyIstván_Anatole,23,undirected
BeöthyZsolt_KálodzyBéla,GaalJozsef_SzirmayIlona,1,undirected
BeöthyZsolt_KálodzyBéla,GozsduElek_Köd,4,undirected
BeöthyZsolt_KálodzyBéla,GyulaiPál_EgyRégiUdvarház,3,undirected
BeöthyZsolt_KálodzyBéla,HerczegFerenc_SzelekSzárnyán,4,undirected
BeöthyZsolt_KálodzyBéla,Jósika_Abafi,14,undirected
BeöthyZsolt_KálodzyBéla,KeményZs_GyulaiPal,9,undirected
BeöthyZsolt_KálodzyBéla,KrúdyGy_AVörösPostakocsi,1,undirected
BeöthyZsolt_KálodzyBéla,KuthyLajos_HazaiRejt,4,undirected
BeöthyZsolt_KálodzyBéla,RákosiJ_ALegnagyobbBolond,24,undirected
BeöthyZsolt_KálodzyBéla,VadnaiK_AKisTündér,16,undirected
BodorÁ_AzÉrsekL,BodorÁ_Sinistra,60,undirected
BodorÁ_AzÉrsekL,Faludy_PokolbeliVigNapjaim,3,undirected
BodorÁ_AzÉrsekL,KonrádGy_AVarosalapito,10,undirected
BodorÁ_AzÉrsekL,Krasznahorkai_Satantango,3,undirected
BodorÁ_AzÉrsekL,MészölyM_Megbocsatas,19,undirected
BodorÁ_Sinistra,BodorÁ_AzÉrsekL,60,undirected
BodorÁ_Sinistra,Darvasi_AKönnymutatványosok,2,undirected
BodorÁ_Sinistra,DéryTibor_Felelet,2,undirected
BodorÁ_Sinistra,KonrádGy_Alátogató,17,undirected
BodorÁ_Sinistra,KonrádGy_AVarosalapito,16,undirected
BodorÁ_Sinistra,Krasznahorkai_Satantango,2,undirected
BodorÁ_Sinistra,MandyI_ATrafik,4,undirected
BodorÁ_Sinistra,MészölyM_Megbocsatas,1,undirected
BródyS_FausOrvos,BródyS_Hófehérke,60,undirected
BródyS_FausOrvos,GellériAE_ANagymosoda,1,undirected
BródyS_FausOrvos,GozsduElek_Köd,23,undirected
BródyS_FausOrvos,Kosztolányi_Aranysárkány,2,undirected
BródyS_FausOrvos,Kosztolányi_ÉdesAnna,1,undirected
BródyS_FausOrvos,MóriczZs_IstenHátaMögött,5,undirected
BródyS_FausOrvos,MóriczZs_Sárarany,18,undirected
BródyS_FausOrvos,SzomoryDezső_APárizsiRegény,2,undirected
BródyS_Hófehérke,BródyS_FausOrvos,60,undirected
BródyS_Hófehérke,BródyS_Rembrandt,28,undirected
BródyS_Hófehérke,GozsduElek_Köd,29,undirected
BródyS_Hófehérke,JusthZsigmond_APenzLegendaja,2,undirected
BródyS_Hófehérke,MóriczZs_Árvácska,1,undirected
BródyS_Hófehérke,SzerbA_UtasÉsHoldvilag,2,undirected
BródyS_Rembrandt,BródyS_Hófehérke,28,undirected
BródyS_Rembrandt,Esterhazy_Harmonia,2,undirected
BródyS_Rembrandt,Kosztolányi_NeroAVéres,5,undirected
BródyS_Rembrandt,MóriczZs_Árvácska,11,undirected
BródyS_Rembrandt,OttlikGeza_Buda,8,undirected
BródyS_Rembrandt,SzerbA_UtasÉsHoldvilag,59,undirected
Darvasi_AKönnymutatványosok,BodorÁ_Sinistra,2,undirected
Darvasi_AKönnymutatványosok,Esterházy_TermelesiRegeny,2,undirected
Darvasi_AKönnymutatványosok,GellériAE_ANagymosoda,15,undirected
Darvasi_AKönnymutatványosok,GergelyÁ_Staciok,1,undirected
Darvasi_AKönnymutatványosok,HerczegFerenc_AzÉletKapuja,4,undirected
Darvasi_AKönnymutatványosok,HerczegFerenc_SzelekSzárnyán,2,undirected
Darvasi_AKönnymutatványosok,KardosGGyörgy_AvrahamBogatir,46,undirected
Darvasi_AKönnymutatványosok,KonrádGy_Alátogató,8,undirected
Darvasi_AKönnymutatványosok,KonrádGy_AVarosalapito,12,undirected
Darvasi_AKönnymutatványosok,KrúdyGy_AVörösPostakocsi,5,undirected
Darvasi_AKönnymutatványosok,KrúdyGy_HétBagoly,1,undirected
Darvasi_AKönnymutatványosok,SütőAndrás_AnyámKönnyűÁlmot,5,undirected
DéryTibor_ABefejezetlenMondat,DéryTibor_Felelet,60,undirected
DéryTibor_ABefejezetlenMondat,Faludy_PokolbeliVigNapjaim,12,undirected
DéryTibor_ABefejezetlenMondat,GellériAE_ANagymosoda,6,undirected
DéryTibor_ABefejezetlenMondat,GergelyÁ_Staciok,10,undirected
DéryTibor_ABefejezetlenMondat,KardosGGyörgy_AvrahamBogatir,4,undirected
DéryTibor_ABefejezetlenMondat,MészölyM_Megbocsatas,8,undirected
DéryTibor_ABefejezetlenMondat,MóriczZs_Sárarany,1,undirected
DéryTibor_Felelet,BodorÁ_Sinistra,2,undirected
DéryTibor_Felelet,DéryTibor_ABefejezetlenMondat,60,undirected
DéryTibor_Felelet,GárdonyiG_EgriCsillagok,4,undirected
DéryTibor_Felelet,GellériAE_ANagymosoda,13,undirected
DéryTibor_Felelet,GergelyÁ_Staciok,10,undirected
DéryTibor_Felelet,KardosGGyörgy_AvrahamBogatir,1,undirected
DéryTibor_Felelet,KonrádGy_Alátogató,3,undirected
DéryTibor_Felelet,MóriczZs_IstenHátaMögött,2,undirected
DéryTibor_Felelet,RejtőJ_ATizennégyKarátosAutó,3,undirected
EötvösJ_AFaluJegyzője,AsbóthJ_ÁlmokÁlmodója,2,undirected
EötvösJ_AFaluJegyzője,EötvösJ_AKarthausi,48,undirected
EötvösJ_AFaluJegyzője,EötvösJ_Magyarorszag1514,60,undirected
EötvösJ_AFaluJegyzője,JókaiMór_EgyMagyarNábob,3,undirected
EötvösJ_AFaluJegyzője,KeményZs_ARajongók,5,undirected
EötvösJ_AFaluJegyzője,NagyIgnác_MagyarTitkok,11,undirected
EötvösJ_AFaluJegyzője,PodmaniczkyFrigyes_AzAlföldiVadászokTanyája,14,undirected
EötvösJ_AFaluJegyzője,ToldyIstván_Anatole,2,undirected
EötvösJ_AKarthausi,AsbóthJ_ÁlmokÁlmodója,27,undirected
EötvösJ_AKarthausi,EötvösJ_AFaluJegyzője,48,undirected
EötvösJ_AKarthausi,EötvösJ_Magyarorszag1514,42,undirected
EötvösJ_AKarthausi,KeményZs_GyulaiPal,8,undirected
EötvösJ_AKarthausi,PodmaniczkyFrigyes_AzAlföldiVadászokTanyája,6,undirected
