Source,Target,Weight,Type
AsbóthJános_ÁlmokÁlmodója,EötvösJózsef_AFaluJegyzője,4,undirected
AsbóthJános_ÁlmokÁlmodója,EötvösJózsef_AKarthausi,30,undirected
AsbóthJános_ÁlmokÁlmodója,EötvösJózsef_Magyarország1514ben,1,undirected
AsbóthJános_ÁlmokÁlmodója,NagyIgnác_MagyarTitkok,5,undirected
AsbóthJános_ÁlmokÁlmodója,PodmaniczkyFrigyes_AzAlföldiVadászokT,5,undirected
AsbóthJános_ÁlmokÁlmodója,ToldyIstván_Anatole,15,undirected
BeöthyZsolt_KálodzyBéla,BródySándor_FaustOrvos,4,undirected
BeöthyZsolt_KálodzyBéla,GaálJózsef_SzirmayIlona,2,undirected
BeöthyZsolt_KálodzyBéla,GozsduElek_Köd,6,undirected
BeöthyZsolt_KálodzyBéla,HerczegFerenc_SzelekSzárnyán,1,undirected
BeöthyZsolt_KálodzyBéla,JósikaMiklós_Abafi,10,undirected
BeöthyZsolt_KálodzyBéla,KeményZsigmond_GyulaiPál,3,undirected
BeöthyZsolt_KálodzyBéla,KuthyLajos_HazaiRejtelmek,5,undirected
BeöthyZsolt_KálodzyBéla,RákosiJenő_ALegnagyobbBolond,38,undirected
BeöthyZsolt_KálodzyBéla,TolnaiLajos_APolgármesterÚr,1,undirected
BeöthyZsolt_KálodzyBéla,VadnaiKároly_AKisTündér,22,undirected
BodorÁdám_AzÉrsekLátogatása,BodorÁdám_SinistraKörzet,60,undirected
BodorÁdám_AzÉrsekLátogatása,FaludyGyörgy_PokolbeliVígNapjaim,3,undirected
BodorÁdám_AzÉrsekLátogatása,KonrádGyörgy_AVárosalapító,10,undirected
BodorÁdám_AzÉrsekLátogatása,KrasznahorkaiLászló_Sátántangó,3,undirected
BodorÁdám_AzÉrsekLátogatása,MészölyMiklós_Megbocsátás,20,undirected
BodorÁdám_SinistraKörzet,BodorÁdám_AzÉrsekLátogatása,60,undirected
BodorÁdám_SinistraKörzet,DarvasiLászló_AKönnymutatványosokL,2,undirected
BodorÁdám_SinistraKörzet,DéryTibor_Felelet,2,undirected
BodorÁdám_SinistraKörzet,KonrádGyörgy_Alátogató,17,undirected
BodorÁdám_SinistraKörzet,KonrádGyörgy_AVárosalapító,16,undirected
BodorÁdám_SinistraKörzet,KrasznahorkaiLászló_Sátántangó,2,undirected
BodorÁdám_SinistraKörzet,MándyIván_ATrafik,4,undirected
BodorÁdám_SinistraKörzet,MészölyMiklós_Megbocsátás,1,undirected
BródySándor_FaustOrvos,BeöthyZsolt_KálodzyBéla,4,undirected
BródySándor_FaustOrvos,BródySándor_Hófehérke,60,undirected
BródySándor_FaustOrvos,GozsduElek_Köd,34,undirected
BródySándor_FaustOrvos,KosztolányiDezső_Aranysárkány,3,undirected
BródySándor_FaustOrvos,MóriczZsigmond_IstenHátaMögött,1,undirected
BródySándor_FaustOrvos,MóriczZsigmond_Sárarany,15,undirected
BródySándor_Hófehérke,BródySándor_FaustOrvos,60,undirected
BródySándor_Hófehérke,BródySándor_Rembrandt,22,undirected
BródySándor_Hófehérke,GozsduElek_Köd,36,undirected
BródySándor_Hófehérke,JusthZsigmond_APénzLegendája,1,undirected
BródySándor_Hófehérke,KosztolányiDezső_Aranysárkány,2,undirected
BródySándor_Hófehérke,SzerbAntal_UtasÉsHoldvilág,1,undirected
BródySándor_Hófehérke,VasGereben_ÉletuntEmber,2,undirected
BródySándor_Rembrandt,BródySándor_Hófehérke,22,undirected
BródySándor_Rembrandt,EsterházyPéter_HarmoniaCaelestis,2,undirected
BródySándor_Rembrandt,KosztolányiDezső_NeroAVéresKöltő,5,undirected
BródySándor_Rembrandt,MóriczZsigmond_Árvácska,11,undirected
BródySándor_Rembrandt,OttlikGéza_Buda,10,undirected
BródySándor_Rembrandt,SzerbAntal_UtasÉsHoldvilág,59,undirected
DarvasiLászló_AKönnymutatványosokL,BodorÁdám_SinistraKörzet,2,undirected
DarvasiLászló_AKönnymutatványosokL,EsterházyPéter_TermelésiRegény,1,undirected
DarvasiLászló_AKönnymutatványosokL,GellériAndorEndre_ANagymosoda,10,undirected
DarvasiLászló_AKönnymutatványosokL,GergelyÁgnes_Stációk,1,undirected
DarvasiLászló_AKönnymutatványosokL,HerczegFerenc_AzÉletKapuja,4,undirected
DarvasiLászló_AKönnymutatványosokL,HerczegFerenc_SzelekSzárnyán,2,undirected
DarvasiLászló_AKönnymutatványosokL,KardosGGyörgy_AvrahamBogatirH,47,undirected
DarvasiLászló_AKönnymutatványosokL,KonrádGyörgy_Alátogató,10,undirected
DarvasiLászló_AKönnymutatványosokL,KonrádGyörgy_AVárosalapító,13,undirected
DarvasiLászló_AKönnymutatványosokL,KrúdyGyula_AVörösPostakocsi,4,undirected
DarvasiLászló_AKönnymutatványosokL,KrúdyGyula_HétBagoly,1,undirected
DarvasiLászló_AKönnymutatványosokL,SütőAndrás_AnyámKönnyűÁlmotÍ,5,undirected
DéryTibor_ABefejezetlenMondat,DéryTibor_Felelet,60,undirected
DéryTibor_ABefejezetlenMondat,FaludyGyörgy_PokolbeliVígNapjaim,13,undirected
DéryTibor_ABefejezetlenMondat,GellériAndorEndre_ANagymosoda,5,undirected
DéryTibor_ABefejezetlenMondat,GergelyÁgnes_Stációk,10,undirected
DéryTibor_ABefejezetlenMondat,KardosGGyörgy_AvrahamBogatirH,4,undirected
DéryTibor_ABefejezetlenMondat,MészölyMiklós_Megbocsátás,8,undirected
DéryTibor_ABefejezetlenMondat,MóriczZsigmond_Sárarany,1,undirected
