Source,Target,Weight,Type
out_AmbrusZoltan_MidasKiraly-szec,out_BalazsBela_MarianneOrszaga-szimb,1,undirected
out_AmbrusZoltan_MidasKiraly-szec,out_BrodySandor_Rembrandt,24,undirected
out_AmbrusZoltan_MidasKiraly-szec,out_CsikyGergely_SisyphusMunkaja,1,undirected
out_AmbrusZoltan_MidasKiraly-szec,out_FüstMilán_FeleségemTörténete,20,undirected
out_AmbrusZoltan_MidasKiraly-szec,out_MóriczZs_LégyJóMindhalalig-real,6,undirected
out_AmbrusZoltan_MidasKiraly-szec,out_OttlikGeza_Iskola,3,undirected
out_AmbrusZoltan_MidasKiraly-szec,out_SzomoryDezső_APárizsiRegény-szimb,1,undirected
out_AmbrusZoltan_MidasKiraly-szec,out_Tomorkeny_ABujdoso,3,undirected
out_AmbrusZoltan_MidasKiraly-szec,out_TorokGyula_APorban-real,2,undirected
out_AmbrusZoltan_MidasKiraly-szec,out_TorokGyula_Ikrek,3,undirected
out_BabitsMihaly_AGolyakalifa-szimb,out_BrodySandor_Hófehérke,5,undirected
out_BabitsMihaly_AGolyakalifa-szimb,out_BrodySandor_Rembrandt,1,undirected
out_BabitsMihaly_AGolyakalifa-szimb,out_CsathGeza_AVorosEszti-szimb,3,undirected
out_BabitsMihaly_AGolyakalifa-szimb,out_GozsduElek_Köd,3,undirected
out_BabitsMihaly_AGolyakalifa-szimb,out_MaloyaiDezso_AzUtolso-szimb,6,undirected
out_BabitsMihaly_AGolyakalifa-szimb,out_TorokGyula_APorban-real,11,undirected
out_BabitsMihaly_AGolyakalifa-szimb,out_TorokGyula_Ikrek,10,undirected
out_BabitsMihaly_HalalFiai-szimb,out_BabitsMihaly_Kartyavar-szimb,4,undirected
out_BabitsMihaly_HalalFiai-szimb,out_BabitsMihaly_TimarVirgilFia-szimb,22,undirected
out_BabitsMihaly_HalalFiai-szimb,out_CsikyGergely_SisyphusMunkaja,22,undirected
out_BabitsMihaly_HalalFiai-szimb,out_HerczegFerenc_AzÉletKapuja,1,undirected
out_BabitsMihaly_HalalFiai-szimb,out_IvanyiOdon_APuspokAtyafisaga,3,undirected
out_BabitsMihaly_HalalFiai-szimb,out_JusthZsigmond_APenzLegendaja,3,undirected
out_BabitsMihaly_HalalFiai-szimb,out_KaffkaM_Hangyaboly,11,undirected
out_BabitsMihaly_HalalFiai-szimb,out_KaffkaM_SzínekÉsÉvek-szimb,6,undirected
out_BabitsMihaly_HalalFiai-szimb,out_PrémJózsef_Félvér,1,undirected
out_BabitsMihaly_HalalFiai-szimb,out_SzomoryDezso_AzEletDiadala-szimb,2,undirected
out_BabitsMihaly_Kartyavar-szimb,out_BabitsMihaly_HalalFiai-szimb,4,undirected
out_BabitsMihaly_Kartyavar-szimb,out_BabitsMihaly_TimarVirgilFia-szimb,8,undirected
out_BabitsMihaly_Kartyavar-szimb,out_CsikyGergely_SisyphusMunkaja,6,undirected
out_BabitsMihaly_Kartyavar-szimb,out_IvanyiOdon_APuspokAtyafisaga,14,undirected
